Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
1,Max Aarons,eng ENG,DF,Bournemouth,eng Premier League,23,2000,13.7,1,0,0,12,26,2,13,8,19,0,1,0,75,5,11,31.3,Matches
2,Brenden Aaronson,us USA,"MF,FW",Union Berlin,de Bundesliga,22,2000,14.1,3,1,1,15,25,5,22,2,18,0,0,0,88,13,16,44.8,Matches
3,Paxten Aaronson,us USA,MF,Eint Frankfurt,de Bundesliga,19,2003,1.1,0,0,0,6,4,0,0,0,2,0,0,0,5,3,0,100.0,Matches
4,Keyliane Abdallah,fr FRA,FW,Marseille,fr Ligue 1,17,2006,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,Matches
5,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,35,1987,30.9,5,0,0,26,12,0,3,39,35,0,0,1,149,61,37,62.2,Matches
6,Salis Abdul Samed,gh GHA,MF,Lens,fr Ligue 1,23,2000,16.9,2,0,0,34,16,0,3,12,14,0,3,0,89,2,7,22.2,Matches
7,Nabil Aberdin,fr FRA,DF,Getafe,es La Liga,20,2002,2.0,0,0,0,1,1,0,0,0,0,0,0,0,10,4,6,40.0,Matches
8,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,30,1993,31.8,4,0,0,36,36,1,34,61,52,0,0,0,226,15,14,51.7,Matches
9,Matthis Abline,fr FRA,FW,Nantes,fr Ligue 1,20,2003,11.6,1,0,0,10,13,6,7,3,4,1,0,0,39,15,27,35.7,Matches
10,Abner,br BRA,DF,Betis,es La Liga,23,2000,15.6,3,0,0,16,2,2,26,15,19,0,1,0,79,14,10,58.3,Matches
11,Zakaria Aboukhlal,ma MAR,"MF,FW",Toulouse,fr Ligue 1,23,2000,8.4,2,0,0,17,15,8,5,1,8,1,0,0,21,6,7,46.2,Matches
12,Abdel Abqar,ma MAR,DF,Alavés,es La Liga,24,1999,25.7,10,0,0,33,23,1,2,23,19,0,2,1,109,39,36,52.0,Matches
13,Tammy Abraham,eng ENG,FW,Roma,it Serie A,25,1997,2.7,1,0,0,6,5,2,2,0,1,1,0,0,1,6,5,54.5,Matches
14,Francesco Acerbi,it ITA,DF,Inter,it Serie A,35,1988,26.5,1,0,0,19,24,3,9,32,13,0,0,0,102,70,37,65.4,Matches
15,Joshua Acheampong,eng ENG,DF,Chelsea,eng Premier League,17,2006,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,Matches
16,Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,31,1991,14.4,7,0,0,18,17,1,82,4,21,0,0,0,99,13,11,54.2,Matches
17,Akor Adams,ng NGA,FW,Montpellier,fr Ligue 1,23,2000,25.0,2,0,0,39,22,26,12,5,4,0,0,0,55,54,69,43.9,Matches
18,Tyler Adams,us USA,MF,Bournemouth,eng Premier League,24,1999,1.3,0,0,0,0,3,0,1,4,3,0,0,0,7,2,3,40.0,Matches
19,Junior Adamu,at AUT,"FW,MF",Freiburg,de Bundesliga,22,2001,1.2,0,0,0,7,4,2,1,0,1,0,0,0,10,5,6,45.5,Matches
20,Sargis Adamyan,am ARM,"FW,MF",Köln,de Bundesliga,30,1993,8.9,2,0,0,18,13,8,4,5,9,1,0,0,30,14,37,27.5,Matches
21,Tosin Adarabioyo,eng ENG,DF,Fulham,eng Premier League,25,1997,18.0,2,0,0,10,5,0,1,25,11,0,0,0,43,56,28,66.7,Matches
22,Elijah Adebayo,eng ENG,FW,Luton Town,eng Premier League,25,1998,15.8,1,0,0,27,16,13,5,6,1,0,0,0,34,43,43,50.0,Matches
23,Karim Adeyemi,de GER,"FW,MF",Dortmund,de Bundesliga,21,2002,10.1,6,1,1,20,19,1,25,3,14,0,0,0,60,14,9,60.9,Matches
24,Simon Adingra,ci CIV,FW,Brighton,eng Premier League,21,2002,24.7,3,0,0,29,19,17,76,19,20,1,0,0,118,8,12,40.0,Matches
25,Nathaniel Adjei,gh GHA,DF,Lorient,fr Ligue 1,20,2002,13.8,2,0,0,10,12,2,2,18,9,0,0,0,60,30,22,57.7,Matches
26,Amine Adli,ma MAR,"MF,FW",Leverkusen,de Bundesliga,23,2000,10.0,5,0,0,14,28,7,23,6,7,0,0,0,36,21,22,48.8,Matches
27,Yacine Adli,fr FRA,MF,Milan,it Serie A,23,2000,15.6,3,0,0,26,9,1,50,20,17,0,1,0,94,15,10,60.0,Matches
28,Adryelson,br BRA,"DF,FW",Lyon,fr Ligue 1,25,1998,0.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,Matches
29,Adson,br BRA,"MF,FW",Nantes,fr Ligue 1,22,2000,2.6,0,0,0,4,4,0,2,2,6,0,0,0,11,0,2,0.0,Matches
30,Michel Aebischer,ch SUI,MF,Bologna,it Serie A,26,1997,24.8,8,0,0,37,30,0,12,12,20,0,0,0,135,11,16,40.7,Matches
31,Emmanuel Agbadou,ci CIV,DF,Reims,fr Ligue 1,26,1997,28.8,1,0,0,31,10,2,6,55,41,0,3,0,217,45,32,58.4,Matches
32,Julen Agirrezabala,es ESP,GK,Athletic Club,es La Liga,22,2000,2.6,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,100.0,Matches
33,Lucien Agoume,fr FRA,MF,Inter,it Serie A,21,2002,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0,Matches
34,Lucien Agoume,fr FRA,MF,Sevilla,es La Liga,21,2002,8.6,3,0,0,19,2,0,2,7,18,0,0,0,48,9,7,56.3,Matches
35,Felix Agu,ng NGA,"DF,MF",Werder Bremen,de Bundesliga,23,1999,17.9,2,0,0,15,44,2,46,13,29,3,0,0,71,15,24,38.5,Matches
36,Nayef Aguerd,ma MAR,DF,West Ham,eng Premier League,27,1996,20.6,3,1,1,10,6,0,5,17,14,0,1,0,102,48,32,60.0,Matches
37,Ruben Aguilar,fr FRA,DF,Lens,fr Ligue 1,30,1993,21.4,3,0,0,20,24,3,75,26,31,0,1,0,106,24,23,51.1,Matches
38,Brandon Aguilera,cr CRC,FW,Nott'ham Forest,eng Premier League,20,2003,0.1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,Matches
39,Naouirou Ahamada,fr FRA,"MF,FW",Crystal Palace,eng Premier League,21,2002,3.9,4,1,1,9,6,1,6,2,9,0,0,0,30,3,3,50.0,Matches
40,Anel Ahmedhodžić,ba BIH,DF,Sheffield Utd,eng Premier League,24,1999,29.4,11,1,1,34,13,2,6,34,36,0,0,0,106,52,36,59.1,Matches
41,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,27,1995,4.5,0,0,0,4,0,0,0,4,3,0,0,0,22,14,9,60.9,Matches
42,Ola Aina,ng NGA,DF,Nott'ham Forest,eng Premier League,26,1996,18.8,3,0,0,18,25,2,28,18,31,0,1,0,97,17,12,58.6,Matches
43,Rayan Aït-Nouri,dz ALG,"DF,MF",Wolves,eng Premier League,22,2001,25.9,7,0,0,25,53,8,41,15,44,1,1,0,136,21,25,45.7,Matches
44,Tosin Aiyegun,bj BEN,"MF,FW",Lorient,fr Ligue 1,25,1998,10.0,0,1,0,13,16,3,8,2,4,1,0,0,33,6,10,37.5,Matches
45,Kristoffer Ajer,no NOR,DF,Brentford,eng Premier League,25,1998,20.4,5,0,0,25,10,1,22,25,21,0,0,0,60,63,23,73.3,Matches
46,Ludovic Ajorque,fr FRA,FW,Mainz 05,de Bundesliga,29,1994,15.1,4,0,0,28,15,5,3,4,2,0,0,0,49,78,91,46.2,Matches
47,Manuel Akanji,ch SUI,"DF,MF",Manchester City,eng Premier League,28,1995,27.9,4,1,1,17,19,0,9,23,28,0,0,0,142,27,27,50.0,Matches
48,Marley Aké,fr FRA,FW,Udinese,it Serie A,22,2001,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,Matches
49,Nathan Aké,nl NED,DF,Manchester City,eng Premier League,28,1995,22.7,0,0,0,10,18,0,11,14,16,0,0,0,119,46,28,62.2,Matches
50,Ilias Akhomach,ma MAR,"MF,FW",Villarreal,es La Liga,19,2004,16.8,4,0,0,41,35,4,29,13,21,0,0,0,70,3,7,30.0,Matches
51,Sergio Akieme,es ESP,DF,Almería,es La Liga,25,1997,18.6,2,0,0,18,17,1,57,10,15,0,2,0,99,10,15,40.0,Matches
52,Sergio Akieme,es ESP,DF,Reims,fr Ligue 1,25,1997,9.1,2,0,0,17,10,0,21,10,5,0,0,0,40,6,4,60.0,Matches
53,Ebenezer Akinsanmiro,ng NGA,MF,Inter,it Serie A,18,2004,0.2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,,Matches
54,Maghnes Akliouche,fr FRA,"MF,FW",Monaco,fr Ligue 1,21,2002,17.9,5,0,0,33,31,1,54,9,23,0,0,0,110,4,19,17.4,Matches
55,Paul Akouokou,ci CIV,MF,Betis,es La Liga,25,1997,0.3,0,0,0,1,1,0,0,1,3,0,0,0,0,0,0,,Matches
56,Paul Akouokou,ci CIV,MF,Lyon,fr Ligue 1,25,1997,3.4,1,0,0,9,3,0,0,6,9,0,0,0,25,8,5,61.5,Matches
57,Jean-Daniel Akpa-Akpro,ci CIV,MF,Monza,it Serie A,30,1992,7.8,5,0,0,15,5,0,1,12,11,0,1,0,29,5,7,41.7,Matches
58,David Akpan Ankeye,ng NGA,FW,Genoa,it Serie A,21,2002,0.6,0,0,0,2,1,0,1,0,0,0,0,0,4,0,1,0.0,Matches
59,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,28,1995,12.2,7,0,0,15,14,0,4,18,18,0,1,0,60,25,21,54.3,Matches
60,David Alaba,at AUT,DF,Real Madrid,es La Liga,31,1992,12.8,2,0,0,4,0,0,17,15,9,0,0,1,63,10,9,52.6,Matches
61,Luis Alberto,es ESP,MF,Lazio,it Serie A,30,1992,25.7,7,0,0,16,23,6,150,7,20,0,0,0,140,10,19,34.5,Matches
62,Raúl Albiol,es ESP,DF,Villarreal,es La Liga,37,1985,22.6,6,0,0,21,8,1,0,16,14,0,0,0,75,46,29,61.3,Matches
63,Thiago Alcántara,es ESP,MF,Liverpool,eng Premier League,32,1991,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
64,Carlos Alcaraz,ar ARG,MF,Juventus,it Serie A,20,2002,4.2,0,0,0,5,5,0,1,5,6,0,0,0,17,2,9,18.2,Matches
65,Rubén Alcaraz,es ESP,MF,Cádiz,es La Liga,32,1991,34.8,14,0,0,84,71,1,36,33,59,0,0,0,234,47,49,49.0,Matches
66,Omar Alderete,py PAR,DF,Getafe,es La Liga,26,1996,24.4,8,1,0,34,11,2,5,13,21,0,0,0,107,55,45,55.0,Matches
67,Iván Alejo,es ESP,MF,Cádiz,es La Liga,28,1995,18.8,17,0,0,49,49,9,151,7,23,0,1,0,87,15,18,45.5,Matches
68,Carles Aleñá,es ESP,MF,Getafe,es La Liga,25,1998,11.3,6,0,0,22,18,3,33,4,8,0,0,0,53,11,19,36.7,Matches
69,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,24,1998,23.9,6,0,0,9,9,2,168,31,26,0,0,0,176,8,6,57.1,Matches
70,Aboubacar Ali,km COM,"MF,FW",Strasbourg,fr Ligue 1,17,2006,1.4,0,0,0,4,1,0,6,1,0,0,0,0,5,1,5,16.7,Matches
71,Mohamed Ali Cho,fr FRA,"FW,MF",Real Sociedad,es La Liga,19,2004,2.8,0,0,0,5,6,3,11,1,3,0,0,0,16,3,6,33.3,Matches
72,Mohamed Ali Cho,fr FRA,FW,Nice,fr Ligue 1,19,2004,9.6,2,0,0,17,22,3,44,3,9,1,1,0,30,5,12,29.4,Matches
73,Faride Alidou,de GER,"FW,MF",Köln,de Bundesliga,22,2001,14.2,4,0,0,21,23,3,39,8,4,1,1,0,57,18,28,39.1,Matches
74,Nabil Alioui,fr FRA,"MF,FW",Le Havre,fr Ligue 1,24,1999,11.2,1,0,0,10,20,5,54,3,2,0,0,0,36,10,10,50.0,Matches
75,Alisson,br BRA,GK,Liverpool,eng Premier League,30,1992,28.0,1,0,0,1,5,0,0,0,0,0,0,0,36,6,2,75.0,Matches
76,Tadeo Allende,ar ARG,"MF,FW",Celta Vigo,es La Liga,24,1999,3.7,1,0,0,2,3,3,10,3,1,0,0,0,19,5,4,55.6,Matches
77,Jim Allevinah,ga GAB,"MF,DF",Clermont Foot,fr Ligue 1,28,1995,20.7,1,0,0,15,26,1,47,13,18,0,0,0,100,16,26,38.1,Matches
78,Domingos André Ribeiro Almeida,pt POR,"FW,MF",Valencia,es La Liga,23,2000,10.7,0,0,0,12,20,1,18,6,15,0,0,0,43,4,15,21.1,Matches
79,Miguel Almirón,py PAR,FW,Newcastle Utd,eng Premier League,29,1994,21.5,2,0,0,16,22,10,24,10,24,0,0,0,97,6,7,46.2,Matches
80,Pontus Almqvist,se SWE,"FW,MF",Lecce,it Serie A,24,1999,23.4,5,0,0,29,35,1,21,14,29,2,0,0,69,14,22,38.9,Matches
81,Marcos Alonso,es ESP,DF,Barcelona,es La Liga,32,1990,2.8,0,0,0,7,6,0,15,4,3,0,0,0,14,2,4,33.3,Matches
82,Adrià Altimira,es ESP,"DF,MF",Villarreal,es La Liga,22,2001,8.6,3,0,0,12,4,0,5,5,7,0,1,0,42,2,7,22.2,Matches
83,Sergi Altimira,es ESP,MF,Betis,es La Liga,21,2001,6.3,1,0,0,8,8,0,1,9,8,0,0,0,41,2,4,33.3,Matches
84,Edson Álvarez,mx MEX,MF,West Ham,eng Premier League,25,1997,26.4,11,0,0,33,15,1,4,42,39,0,1,0,164,30,34,46.9,Matches
85,Gastón Álvarez,uy URU,DF,Getafe,es La Liga,23,2000,28.2,7,0,0,43,10,1,25,35,37,0,0,0,132,51,30,63.0,Matches
86,Hugo Álvarez,es ESP,"MF,DF",Celta Vigo,es La Liga,20,2003,8.5,1,0,0,9,9,1,22,5,9,0,0,0,47,5,6,45.5,Matches
87,Julián Álvarez,ar ARG,"MF,FW",Manchester City,eng Premier League,23,2000,29.4,2,0,0,23,13,2,137,2,13,2,0,0,98,4,24,14.3,Matches
88,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,28,1995,12.8,1,1,0,15,14,0,1,11,9,0,0,0,68,43,15,74.1,Matches
89,Skelly Alvero,fr FRA,MF,Lyon,fr Ligue 1,21,2002,4.7,2,0,0,12,3,0,2,2,7,0,1,0,20,9,7,56.3,Matches
90,Skelly Alvero,fr FRA,MF,Werder Bremen,de Bundesliga,21,2002,1.4,1,0,0,2,3,0,0,1,4,0,0,0,9,6,1,85.7,Matches
91,Papa Amadou Diallo,sn SEN,FW,Metz,fr Ligue 1,19,2004,9.9,1,0,0,10,11,4,14,11,8,0,0,0,59,30,36,45.5,Matches
92,Selim Amallah,ma MAR,"FW,MF",Valencia,es La Liga,26,1996,6.7,5,1,1,21,24,1,4,11,12,0,0,0,36,11,15,42.3,Matches
93,Amath,sn SEN,"FW,MF",Mallorca,es La Liga,27,1996,4.4,2,0,0,10,7,4,7,3,6,1,0,0,21,6,5,54.5,Matches
94,Lorenzo Amatucci,it ITA,MF,Fiorentina,it Serie A,19,2004,0.2,0,0,0,1,0,0,0,0,0,0,0,0,3,1,1,50.0,Matches
95,Jordan Amavi,fr FRA,DF,Brest,fr Ligue 1,29,1994,1.0,1,0,0,2,0,0,1,3,1,0,0,0,7,1,0,100.0,Matches
96,Zeki Amdouni,ch SUI,FW,Burnley,eng Premier League,22,2000,21.7,2,0,0,22,39,2,8,9,18,1,0,0,79,15,56,21.1,Matches
97,Kelvin Amian,fr FRA,DF,Nantes,fr Ligue 1,25,1998,8.9,2,0,0,13,3,0,14,7,7,0,0,0,19,6,4,60.0,Matches
98,Bruno Amione,ar ARG,DF,Hellas Verona,it Serie A,21,2002,6.4,2,0,0,10,6,0,1,9,3,0,0,0,39,19,10,65.5,Matches
99,Michael Amir Murillo,pa PAN,DF,Marseille,fr Ligue 1,27,1996,11.1,3,0,0,10,10,6,16,11,11,0,0,0,60,15,11,57.7,Matches
100,Nadiem Amiri,de GER,MF,Mainz 05,de Bundesliga,26,1996,14.6,5,0,0,11,32,1,126,14,14,0,0,0,93,10,5,66.7,Matches
101,Nadiem Amiri,de GER,MF,Leverkusen,de Bundesliga,26,1996,1.0,0,0,0,1,3,0,1,0,2,0,0,0,8,0,0,,Matches
102,Kofi Amoako,de GER,MF,Wolfsburg,de Bundesliga,18,2005,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
103,Sofyan Amrabat,ma MAR,"MF,DF",Manchester Utd,eng Premier League,26,1996,10.4,6,0,0,24,10,0,7,8,16,0,0,0,60,5,6,45.5,Matches
104,Joachim Andersen,dk DEN,DF,Crystal Palace,eng Premier League,27,1996,37.9,7,0,0,43,23,1,31,41,35,0,0,0,193,89,46,65.9,Matches
105,Elliot Anderson,eng ENG,"MF,FW",Newcastle Utd,eng Premier League,20,2002,11.4,3,0,0,21,19,1,19,8,18,0,0,0,60,19,12,61.3,Matches
106,Felipe Anderson,br BRA,"FW,MF",Lazio,it Serie A,30,1993,30.8,3,0,0,30,36,4,57,27,45,0,0,0,139,15,16,48.4,Matches
107,Benjamin André,fr FRA,MF,Lille,fr Ligue 1,32,1990,28.6,8,0,0,51,43,1,19,35,49,0,0,0,195,78,56,58.2,Matches
108,Komnen Andrić,rs SRB,FW,Clermont Foot,fr Ligue 1,28,1995,1.9,0,0,0,2,2,1,1,0,1,0,0,0,4,2,8,20.0,Matches
109,Robert Andrich,de GER,"MF,DF",Leverkusen,de Bundesliga,28,1994,18.8,4,0,0,23,14,0,14,20,18,0,0,0,122,20,22,47.6,Matches
110,Miguel Ángel Rubio,es ESP,DF,Granada,es La Liga,25,1998,17.3,5,0,0,20,11,1,0,28,12,0,0,0,77,58,30,65.9,Matches
111,Angeliño,es ESP,DF,Roma,it Serie A,26,1997,12.7,2,0,0,13,10,1,53,12,11,0,0,1,55,15,9,62.5,Matches
112,Ângelo,br BRA,"FW,MF",Strasbourg,fr Ligue 1,18,2004,12.2,1,0,0,12,22,2,42,9,11,1,0,0,82,2,7,22.2,Matches
113,Fabrizio Angileri,ar ARG,"DF,MF",Getafe,es La Liga,29,1994,1.8,2,1,0,1,1,0,8,4,1,0,0,0,15,6,5,54.5,Matches
114,Jaidon Anthony,eng ENG,FW,Bournemouth,eng Premier League,23,1999,1.7,1,0,0,4,2,2,2,1,1,0,0,0,11,1,3,25.0,Matches
115,Waldemar Anton,de GER,DF,Stuttgart,de Bundesliga,27,1996,32.1,7,0,0,25,26,0,14,40,25,1,1,1,203,79,42,65.3,Matches
116,Michail Antonio,jm JAM,FW,West Ham,eng Premier League,33,1990,18.8,6,0,0,25,28,9,27,4,8,0,0,0,55,33,53,38.4,Matches
117,Antony,br BRA,FW,Manchester Utd,eng Premier League,23,2000,14.7,5,0,0,19,32,2,16,12,21,1,1,0,96,2,21,8.7,Matches
118,Christopher Antwi-Adjei,gh GHA,"FW,MF",Bochum,de Bundesliga,29,1994,13.5,5,0,0,13,17,18,55,2,12,0,0,0,53,11,22,33.3,Matches
119,Houssem Aouar,dz ALG,"MF,FW",Roma,it Serie A,25,1998,8.4,3,0,0,10,11,3,10,4,11,0,0,0,39,10,11,47.6,Matches
120,Stredair Appuah,fr FRA,"FW,MF",Nantes,fr Ligue 1,19,2004,0.9,0,0,0,1,0,0,2,1,0,0,0,0,4,1,0,100.0,Matches
121,Mauro Arambarri,uy URU,MF,Getafe,es La Liga,27,1995,3.8,2,0,0,18,3,0,6,2,2,0,0,0,27,5,8,38.5,Matches
122,Jon Aramburu,ve VEN,DF,Real Sociedad,es La Liga,21,2002,6.0,3,0,0,11,5,0,7,7,15,0,0,0,24,7,7,50.0,Matches
123,Asaf Arania,il ISR,MF,Darmstadt 98,de Bundesliga,17,2005,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
124,Julian Araujo,mx MEX,DF,Las Palmas,es La Liga,21,2001,16.2,5,0,0,13,9,2,23,10,22,0,0,0,81,29,21,58.0,Matches
125,Ronald Araújo,uy URU,DF,Barcelona,es La Liga,24,1999,22.2,6,0,0,25,9,0,8,12,22,0,1,0,102,60,22,73.2,Matches
126,Oliver Arblaster,eng ENG,MF,Sheffield Utd,eng Premier League,19,2004,10.5,2,0,0,10,12,0,7,16,14,0,0,1,52,9,15,37.5,Matches
127,Cameron Archer,eng ENG,"FW,MF",Sheffield Utd,eng Premier League,22,2001,20.4,1,0,0,14,20,13,5,1,13,0,0,0,62,7,42,14.3,Matches
128,Cameron Archer,eng ENG,MF,Aston Villa,eng Premier League,22,2001,0.1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,,Matches
129,Alphonse Areola,fr FRA,GK,West Ham,eng Premier League,30,1993,30.0,1,0,0,2,3,0,0,1,1,0,2,1,15,10,1,90.9,Matches
130,Adu Ares,es ESP,FW,Athletic Club,es La Liga,21,2001,2.9,2,0,0,5,12,1,11,1,4,0,0,0,15,1,3,25.0,Matches
131,Jesús Areso,es ESP,DF,Osasuna,es La Liga,24,1999,29.6,3,0,0,30,20,3,110,18,24,0,0,0,130,28,21,57.1,Matches
132,Simone Aresti,it ITA,GK,Cagliari,it Serie A,37,1986,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
133,Matias Arezo,uy URU,FW,Granada,es La Liga,20,2002,4.1,1,0,0,6,1,8,4,1,3,0,0,0,13,11,17,39.3,Matches
134,Iñigo Arguibide,es ESP,DF,Osasuna,es La Liga,18,2005,0.2,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,100.0,Matches
135,Yoël Armougom,fr FRA,"DF,MF",Clermont Foot,fr Ligue 1,25,1998,2.6,1,0,0,1,3,0,14,1,3,0,0,0,6,2,3,40.0,Matches
136,José Arnaiz,es ESP,"FW,MF",Osasuna,es La Liga,28,1995,10.3,3,0,0,8,19,3,46,3,8,0,0,0,39,11,14,44.0,Matches
137,Hákon Arnar Haraldsson,is ISL,"FW,MF",Lille,fr Ligue 1,20,2003,14.3,5,0,0,15,28,1,7,3,8,0,0,0,48,1,8,11.1,Matches
138,Marko Arnautović,at AUT,FW,Inter,it Serie A,34,1989,8.9,0,0,0,11,15,8,7,5,4,0,0,0,17,4,7,36.4,Matches
139,Maximilian Arnold,de GER,MF,Wolfsburg,de Bundesliga,29,1994,27.8,9,0,0,37,46,0,110,24,31,0,0,0,174,14,30,31.8,Matches
140,Mohamed El Arouch,fr FRA,FW,Lyon,fr Ligue 1,19,2004,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,Matches
141,Sergio Arribas,es ESP,"MF,FW",Almería,es La Liga,21,2001,22.7,1,0,0,14,42,1,60,16,17,0,0,0,91,19,24,44.2,Matches
142,Kepa Arrizabalaga,es ESP,GK,Real Madrid,es La Liga,28,1994,13.3,1,0,0,0,2,0,0,0,0,0,0,0,17,2,0,100.0,Matches
143,Arthur,br BRA,DF,Leverkusen,de Bundesliga,20,2003,2.0,0,0,0,2,0,0,7,0,3,0,0,0,10,2,3,40.0,Matches
144,Takuma Asano,jp JPN,"FW,MF",Bochum,de Bundesliga,28,1994,22.1,2,0,0,15,22,23,37,4,6,0,0,0,74,15,52,22.4,Matches
145,Marco Asensio,es ESP,"MF,FW",Paris S-G,fr Ligue 1,27,1996,12.4,0,0,0,8,10,0,52,5,10,0,0,0,43,2,3,40.0,Matches
146,Kristjan Asllani,al ALB,MF,Inter,it Serie A,21,2002,8.7,1,0,0,4,19,0,35,11,2,0,0,0,57,4,7,36.4,Matches
147,Joel Asoro,se SWE,"FW,MF",Metz,fr Ligue 1,24,1999,9.4,2,0,0,18,22,4,19,6,9,1,1,0,32,17,15,53.1,Matches
148,Jonathan Asp Jensen,dk DEN,FW,Bayern Munich,de Bundesliga,17,2006,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
149,Iago Aspas,es ESP,FW,Celta Vigo,es La Liga,35,1987,30.1,6,1,0,19,59,12,149,10,6,1,0,0,99,7,30,18.9,Matches
150,Lorenz Assignon,tg TOG,DF,Burnley,eng Premier League,23,2000,13.7,5,1,1,33,16,1,29,19,17,0,2,0,67,13,17,43.3,Matches
151,Lorenz Assignon,tg TOG,DF,Rennes,fr Ligue 1,23,2000,11.2,4,0,0,22,15,1,22,9,12,1,0,0,67,11,17,39.3,Matches
152,Youcef Atal,dz ALG,DF,Nice,fr Ligue 1,27,1996,4.0,2,0,0,3,4,0,6,4,3,0,0,0,28,2,2,50.0,Matches
153,Valentin Atangana Edoa,fr FRA,MF,Reims,fr Ligue 1,17,2005,6.2,0,0,0,19,8,0,5,6,13,0,0,0,28,8,12,40.0,Matches
154,Arthur Atta,fr FRA,"MF,FW",Metz,fr Ligue 1,20,2003,10.3,0,0,0,18,12,4,10,10,14,0,0,0,54,11,19,36.7,Matches
155,Noah Atubolu,de GER,GK,Freiburg,de Bundesliga,21,2002,34.0,0,0,0,0,3,0,0,0,0,0,0,0,62,7,0,100.0,Matches
156,Pierre-Emerick Aubameyang,ga GAB,FW,Marseille,fr Ligue 1,34,1989,29.1,4,0,0,9,20,21,42,9,14,0,0,0,67,26,39,40.0,Matches
157,Emil Audero,id IDN,GK,Inter,it Serie A,26,1997,3.7,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,100.0,Matches
158,Tommaso Augello,it ITA,DF,Cagliari,it Serie A,28,1994,26.9,5,0,0,15,14,1,153,17,19,0,0,0,147,34,28,54.8,Matches
159,Carlos Augusto,br BRA,DF,Inter,it Serie A,24,1999,19.2,1,0,0,17,6,1,40,16,21,0,0,0,74,59,26,69.4,Matches
160,Yann Aurel Bisseck,de GER,DF,Inter,it Serie A,22,2000,10.0,0,0,0,6,11,2,5,5,6,0,0,0,37,18,17,51.4,Matches
161,Serge Aurier,ci CIV,"DF,MF",Nott'ham Forest,eng Premier League,30,1992,9.3,2,0,0,8,9,0,22,9,14,0,0,0,50,30,20,60.0,Matches
162,Ezequiel Ávila,ar ARG,"FW,MF",Osasuna,es La Liga,29,1994,9.6,3,2,0,8,20,4,79,4,2,0,0,0,37,10,20,33.3,Matches
163,Ezequiel Ávila,ar ARG,FW,Betis,es La Liga,29,1994,3.3,4,1,1,3,12,0,12,1,1,0,0,0,9,4,5,44.4,Matches
164,Taiwo Awoniyi,ng NGA,FW,Nott'ham Forest,eng Premier League,25,1997,11.6,2,0,0,9,16,13,1,1,7,0,0,0,33,21,48,30.4,Matches
165,André Ayew,gh GHA,FW,Le Havre,fr Ligue 1,33,1989,12.3,2,1,0,15,26,4,4,2,11,0,0,0,40,44,62,41.5,Matches
166,Jordan Ayew,gh GHA,"FW,MF",Crystal Palace,eng Premier League,31,1991,28.3,9,1,1,46,94,7,97,16,36,0,0,0,155,33,61,35.1,Matches
167,Neil El Aynaoui,ma MAR,MF,Lens,fr Ligue 1,22,2001,17.4,1,0,0,21,40,1,7,32,20,1,0,0,94,15,16,48.4,Matches
168,Sardar Azmoun,ir IRN,"FW,MF",Roma,it Serie A,28,1995,6.5,4,0,0,8,11,2,2,3,5,2,0,0,19,13,15,46.4,Matches
169,César Azpilicueta,es ESP,DF,Atlético Madrid,es La Liga,33,1989,15.8,4,0,0,29,12,0,11,16,14,0,0,0,72,21,23,47.7,Matches
170,Paulo Azzi,br BRA,"DF,MF",Cagliari,it Serie A,29,1994,10.6,1,0,0,5,4,4,48,16,11,0,0,0,59,13,11,54.2,Matches
171,Oussama El Azzouzi,ma MAR,MF,Bologna,it Serie A,22,2001,6.1,4,0,0,14,7,1,2,6,7,0,0,0,37,5,11,31.3,Matches
